,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,"Afghanistan, Islamic Republic of",223736.574791078,235730.977198474,267176.889153307,277497.599208482,334620.77516831097,362857.49283107,386367.65485105506,440336.0189929459,465358.222888133,477909.038709192,482628.8115827621,493073.36076657503,506215.11418489093,519882.92226788297,...
1,Algeria,5285319.18576077,5374349.770032691,5555619.878149849,5686739.999601009,5779561.46283049,5988556.441044481,6157618.34768462,6366418.969348519,6544678.70049028,6793376.49110891,7044731.42127993,7270162.82676089,7364674.943508781,7467780.39271791,...
2,Angola,874608.488051748,975605.505343302,1112289.07505887,1236487.4610201002,1247103.53496995,1307703.03417356,1353106.23999969,1468690.56861005,1541458.1716418602,1615796.92729173,1631043.19305424,1588960.6925988,1586577.2515599,1567538.32454118,...
3,Anguilla,637.77,765.39,869.88,858.21,699.7,667.8,691.26,651.39,647.1,679.89,701.29,683.89,638.46,708.07,...
4,Antigua and Barbuda,2771.0000019191098,3123.9146912087003,3413.30237180966,3412.38772608121,2999.13240690344,2783.31819380494,2725.23482462509,2820.4765488990897,2817.8533924131098,2898.36,3009.2,3174.66,3274.51,3516.47,...
5,Argentina,528055.942525,570549.4042,621942.50265,647176.15975,608872.8764,670523.67945,710781.597225,703485.98945,720407.1053,702306.04595,721487.146625,706477.8486,725330.848525,707329.642325,...
6,"Armenia, Republic of",2172495.6,2538896.4,3021394.7,3368084.7,3063323.8,3211242,3621128.5,4048644.9,4405450.9,4721560.7,4984858.2,5053172.3,...,...,...
7,Aruba,3505.7843914580003,3542.63250621641,3614.70100773631,3620.23062899322,3209.91762079635,3102.73256535775,3211.48211368793,3167.53730481423,3299.4599119116997,3329.2830842350304,3314.37843740186,3310.2704948759197,3351.2737555507397,...,...
8,"Azerbaijan, Republic of",12522.7,16838.8,21126.5,23364.1,25553.2,26776.9,26355.7,26936.3,28510.3,29307.9,29615.5,28708.2,28752.3,29031.4,...
9,"Bahamas, The",10457.5238631582,10720.724052434,10875.7962850397,10623.053579250602,10179.5055409107,10336.152452497,10399.5029991794,10720.5,10404.0381840296,10480.6652501763,10543.2957984868,10590.3455997213,10597.4135241267,10763.3394615629,...
10,"Bahrain, Kingdom of",7377.29610401419,7854.39,8505.83,9036.75,9266.33,9668.19,9859.96,10227.56,10781.53,11250.65,11572.75,11973.37,12422.77,...,...
11,Bangladesh,4673431269.8904,4993600000,5319100000,5612465000,5910765000,6267195000,6674175000,7091945000,7520160000,7994990000,8542005000,9157190000,9851685000,10633355200,...
12,Barbados,8981.957820090629,9491.10826337958,9700.09412904969,9767.76823988991,9271.974358569929,9059.85703849362,8998.900765690809,8958.43747861562,8831.99803147236,8820.833954205369,9036.63397952314,9261.22449340773,9305.44885596595,9251.19714587381,...
13,Belarus,51360.2005703482,56495.1865892478,61380.4705533636,67670.9468278289,67781.5944336905,73028.43340405369,77076.91487257961,78411.4178119471,79214.33881548891,80579.27,77493.43,75535.6,77448.3,79887.3,...
14,Belize,2156.1,2254.8,2279.7,2353.4,2372.1,2450.7,2502.3,2596.1,2613.95759177898,2719.7000901834203,2822.91250215947,2809.1582616465003,2830.36510144034,...,...
15,Benin,4453159.61634325,4628781.3707585195,4905875.51197862,5146095.9681755705,5265449.318734099,5376763.56296816,5536117.85386637,5802472.80657875,6219753.6269363,6615185.52922775,6732814,6957668,7352276.45104384,7844677.05186024,...
16,Bhutan,27919.2620039575,29868.3798142244,33623.1284089697,37238.4147369912,39369.2557738962,43041.2844660196,47224.7134615569,50260.2500346534,52054.7798551195,54117.6909233811,57463.9741603668,61668.2223425009,66220.8337024889,...,...
17,Bolivia,26030.239788672,27278.9126660122,28524.0271227962,30277.826305813094,31294.252762304903,32585.6797921988,34281.4686663027,36037.4600283797,38486.5698629999,40588.1558262727,42559.598548954906,44374.3060000055,46235.8998270935,...,...
18,Bosnia and Herzegovina,21441.704,22661.99,24016.984,25360.408,25153.5020287029,25346.492111000905,25576.6996255665,25338.0230713573,25944.6624874504,26225.3510238357,27016.2881374224,27553.282232124297,...,...,...
19,Botswana,54544.7,59106.8,64001,67996.1137939453,62792.7711547852,68170.1462524414,72293.3043518066,75514.8001174927,84080.7433395386,87569.4724273682,86082.5990905762,89787.3690185547,92397.9652862549,96512.9881820679,...
20,Brazil,905575,941453.8,998598.8,1049469.4,1048149.1,1127056,1171850.1,1194363.3,1230251.8,1236451.7,1192610,1151313.3,...,...,...
21,Brunei Darussalam,18097.56891994,18896.0347455974,18918.7363396494,18544.3244833012,18207.010703104697,18689.7828899281,19389.6043145036,19566.6576406189,19150.9085890037,18670.625400808705,18594.970572931703,18136.537539694906,18377.28372587,18387.1,...
22,Burkina Faso,2573400,2727400,2846631.2733221403,3011735.6520933597,3100941.78211894,3362856.05658492,3585709.9083623397,3817084.02122273,4038234.16274366,4212919.00044323,4376992.11614721,4637231.944215231,4930151.58676001,5266424.04609718,...
23,Burundi,1208244,1273656,1317622,1381681,1434361,1507860,1568666,1638420,1735815.84,1813827.8278338704,1742069.44717788,1723917.495883,1723943.12072198,1726509.10850802,...
24,Cabo Verde,102346.655739049,111678.885384003,121973.724837631,130085.612412591,128432.971006821,130316.813055379,135488.939326524,136954.81894484,138054.288869133,138898.09419265398,140296.608728824,146898.674568539,152336.921099284,160071.90569610198,...
25,Cambodia,22009105.669577,24379725.159429505,26869522.6110025,28667517.5335746,28692371.3996066,30403320.0512594,32587040.1653436,34951088.1126901,37552470.2385755,40206314.0267189,43009273.3167275,45999748.6895409,49151250.99242021,...,...
26,Cameroon,9464932,9792198,10272231.3,10630609,10864340.3839233,11236173.2636824,11700146,12231714.6400188,12892749,13651366,14422868,15093312.3580874,15628987.1928879,...,...
27,Central African Republic,705415.468887452,739072,773125.2005442348,789006.1705796419,802492.029540936,826941.207866041,854236.3846969028,889369.044666035,562970.6052736,568825.70203706,596129.335734839,623141.309748985,650115.6620677591,...,...
28,Chad,3518122,3540926,3656770.23565641,3768781.79403541,3924756.72508002,4458427.862962809,4463763.3524352005,4856896.032689,5136330.00160863,5490376.1964670895,5587528.53187185,5228189.67029541,5063854.1714755,...,...
29,Chile,81742968.6,86397687.67,90856521.59,93847932.0081357,92875262.2169191,98219034.4530362,103954673.049613,109627615.332653,...,...,...,...,...,...,...
30,"China, P.R.: Mainland",28015429.0842269,31579284.985283103,36080355.632933795,39562273.3955229,43281644.9648608,47853467.809841,52399547.2517759,56539111.484666206,60949162.180470206,65398451.0196445,69910944.14,74619015.97186421,79660951.688279,84892627.2632202,...
31,Colombia,340156000,362938000,387983000,401744000,407577000,425060000,...,...,...,...,...,...,...,...,...
32,Comoros,288628.12810411904,283349.719716752,285627,296951,306574.41203703696,318156.07819864695,331338.896576005,341837.070925762,357104.359871929,364627.326020566,368810.880426848,378410.391606276,389580,401095,...
33,"Congo, Democratic Republic of",5670065,5971768,6345569.4901097305,6740637.93733722,6933087.46511011,7425889.69813896,7936395.175518619,8498839.48162017,9219707.3609739,10092840.2098134,10790879.994126,11049794.1131964,11461614.1555884,12128170.9046964,...
34,"Congo, Republic of",1071200,1138000,1119994.30507669,1182403.3465256102,1275168.55150858,1386283.56366126,1433327.01901679,1488208.44469418,1536899.26216818,1642064.94765672,1685073.82346999,1637400,1608382.85785884,1633959.84795184,...
35,Costa Rica,16946668.7411532,18173223.3339119,19657593.3429988,20571592.4556858,20371935.212221,21380725.7063462,22301615.298135698,23371405.9244518,23901709.5288245,24779630.0828412,25945972.77,27069118.93,...,...,...
36,Côte d'Ivoire,10480531.2221743,10639399.5543775,10827188.8700851,11102507.1193836,11463500,11694792,11126736.4118201,12335548.1217643,13479293.0797308,14664672.5448458,15961449.805401,17233856.040948,18561223.1147125,19940892.005020197,...
37,Djibouti,249359.859354319,261391.529568578,274504.38108988403,290441.036775216,295135.536180742,307376.17619332,329792.059078497,345761.218795865,363051.5090263579,388688.548297921,418520.66675094096,447476.373321073,470194.299735616,496054.986221075,...
38,Dominica,1006.7723,1053.6754,1120.6234,1200.4201,1186.3781,1194.357,1191.6855,1179.0681,1171.903,1223.3366,1192.1354,1222.2016,1105.7208,1111.6114,...
39,Dominican Republic,1243632.7704493,1357728.06067849,...,...,...,1645841.25179951,1696893.88647599,1744303.58080611,1827019.57633535,1966036.85342425,2104464.25373983,2244312.2205918906,...,...,...
40,Ecuador,47809.319,49914.615,51007.777,54250.408,54557.732,56481.055,60925.064,64362.433,67546.128,70105.362,70174.677,69314.066,70955.691,71932.841,...
41,Egypt,1180093.94634785,1260857.66657062,1350225.08207485,1446851.01772817,1514471.04399212,1592424.42547603,1620523.90019698,1656600,1711300,1761200,1838200,1918100,1996300,2102385.79827089,...
42,El Salvador,14698.001419733298,15336.3202637864,15621.664625688,15953.9726332585,15621.5884815574,15950.612397316,16558.6202453537,17024.5921140772,17428.9592873111,17773.9231157394,18196.521084858003,18666.0964082548,19099.6346509703,...,...
43,Equatorial Guinea,4951917.76287405,5274146,6080146.85731031,7162359,7258575,6610808,7042092,7627490,7312232.17882246,7342582.398969381,6673670.01760705,6085264.54893662,5798797.09903959,5466618.803597219,...
44,Eritrea,25098.2299816617,24854.973827390095,25209.61,20309.91,22783.51,25256.1,31749.4,32348.2,28965.8,37926.2,30105.3,32330.4,29220.4,32781.2,...
45,"Eswatini, Kingdom of",29097.265590667703,30840.822265625,32208.7286300659,32473.376121521,32981.6003494263,34232.8413619995,35002.1320495605,36889.2052230835,38313.966621398904,38663.848411560095,39557.9366416931,40059.6485595703,40870.8415603638,41831.7190589905,...
46,Ethiopia,491063.289717573,547535.568035094,612144.765063235,680704.9787503179,748775.4766253489,828145.677147637,922554.2843424671,1002816.50708026,1102095.34128121,1215611.16143317,1342034.72222222,1449397.5,1596481.6,1719491.3,...
47,Fiji,7682.836417406339,7828.81030933707,7758.351016553031,7835.934526718551,7726.23144334449,7958.018386644831,8172.88488308424,8288.22993903186,8680.613006418671,9167.03244177719,9594.565219310249,9835.4,10369,10734.6,...
48,Gabon,3760757.02291208,3688998.04944064,3922614.71099825,3990574.4236656697,3899623.4546081694,4144145.85652985,4438038.458782719,4671083.27193225,4928786.66639751,5147392.292615781,5347035.07304407,5458352.85221325,5482995.23371369,...,...
49,"Gambia, The",40431.3518886654,40206.723028053595,41430.3138913215,44022.1552233607,46956.5506937105,49730.9014204442,45687.5581898185,48082.3032157287,49463.596581155296,48767.4545690211,50746.4738921992,51732.6604243621,54227.5255068037,57777.8159746466,...
50,Georgia,16060.8472710346,17573.8980457925,19784.4800572448,20262.8892200079,19523.2733417723,20743.3642488422,22241.3511194138,23653.784133474703,24454.948230875303,25585.581561982897,26322.527881604597,27072.449692848302,28380.9235957827,...,...
51,Ghana,65300.4484959272,69192.3264033212,71965.8404929102,78625.1992470717,82946.7722302437,89534.758528973,105120.104003327,114560.705002688,123650.009586178,127232.692977488,130004.084147764,134486.355826772,145438.18025991597,154547.672715288,...
52,Grenada,1964.94577557568,1886.491771,2002.01018928855,2020.99355328314,1887.33288069257,1877.68357167296,1892.04164479938,1870.18585445597,1914.16172898463,2054.7,2187.13,2268.92,2369.63,2470.286016,...
53,Guatemala,166721.9,175691.2,186766.9,192894.8,193909.6,199473.7,207776,213946.7,221857.5,231118.2,240686.6,248129.8,254979,...,...
54,Guinea,33637171.1384091,34477000,36722000,38243000,37655000,39243500,41446600,43898300,45625100,47317000,49121000,54440000,59910216.5137412,63365741.14505871,...
55,Guinea-Bissau,309516,316663.7,326996.2,337472.3,348841.4,364925.79,394430.139805825,387674.01258155296,400296.972870884,404157.917235813,428949.040787257,455814.212420895,482830.915962948,501178.49076954,...
56,Guyana,277725.523899063,291964.28122368106,312461.01400351204,318636.813849654,329211.430518787,343600.961998717,364130.854405178,378952.619583632,384857.81716906,407361.6002272119,425782.629674961,440969.01567752106,459641.08750694705,478662.1040797261,...
57,Haiti,12783.4713620326,13071,13508,13622,14042,13270,14003,14407,15018,15439,15626,15853,16039,16277,...
58,Honduras,133886.1,142678.4,151507.6,157919.4,154078.8,159828,165958.3,172810.3,177634.3,183066.6,190096.4,197229.2,206667.1,...,...
59,India,54952315.1919475,60043163.5289941,65928230.733794294,68493428.9514561,74301571.2278428,81924893.66985911,87363300,92130200,98013700,105369800,113810000,121898500,131798580.156064,140775860.515391,...
60,Indonesia,...,...,...,6162847000,6452609800,6864133100,7287635300,7727083400,8156497800,8564866600,8982517100,9434613400,9912703600,10425316300,...
61,"Iran, Islamic Republic of",5199769441.57893,5476337428.40249,5844885233.10169,5840480508.25827,5840800392.8681,6175274156.65131,6364368557.68597,5873423485.90905,5854329026.55402,6042535011.58658,5946680442.58407,6691109200,6940833600,6604552991.8976,...
62,Iraq,103551403.4,109389941.3,111455813.4,120626517.1,124702847.9,132687028.6,142700217,162587533.1,174990175,176282471.11905,180754015.735991,204364306.65784,200160572.501141,...,...
63,Jamaica,735020,756329,767251,760975,735097,724541,734832,731141,732661,736856,743121,754301,759265,771688.617698888,...
64,Jordan,17926.3644673364,19066.519369144506,20625.3442874838,22117.0534781545,23328.3119864724,23867.4718907949,24485.0040140646,25133.893430080003,25844.8395592329,26645.432768504103,27272.311475732706,27829.641854405894,28418.405044294203,28969.7676859416,...
65,Kazakhstan,10659103.1444444,11799627.1808999,12849794,13273837.202,13433123.248424,14413741.245559,15480358.0977303,16223415.2864214,17196820.2036067,17919086.6521581,18134115.691984,18333590.9645959,19085268.1941443,19867764.1901042,...
66,Kenya,2445134.20560831,2588279.16153089,2765595.78629848,2772018.98719567,2863688,3104303.43360917,3294025.96010962,3444343.48110597,3646821.5093881097,3842186.5366767,4061901.5673665,4300699.00072173,4509822.229932071,4794833.26974241,...
67,Kiribati,146.464244208,146.391968770834,149.371096013966,146.246781831213,147.42108775439502,146.05881693688698,148.387716977141,155.28742611156898,161.930730722888,160.951344448971,177.522851495157,179.547056276468,185.118089732617,...,...
68,"Korea, Republic of",1155129700,1215939500,1286458500,1325219300,1335724300,1426618000,1479198400,1514736600,1562673600,1612717500,1658020400,1706880300,1760811500,1807735900,...
69,Kuwait,31220.9822162813,33568.8778427105,35580.211310082705,36462.5450050264,33882.4178345356,33079.2,36695.050455078905,39579.5555639214,39723.9286974334,39970.748045375,39569.5821152867,40697.3,38779.6,39262.8,...
